Volume,Doors,Style,ClusterStyle
2.894736842,7.0,SUV,Sedan
2.894736842,7.0,SUV,Sedan
2.931174089,7.0,SUV,Sedan
3.805668016,7.0,Pickup,SUV
2.748987854,7.0,Sedan,Sedan
2.67611336,7.0,Sedan,Sedan
2.931174089,10.0,SUV,SUV
3.441295547,7.0,Pickup,Sedan
3.951417004,10.0,SUV,SUV
2.530364372,7.0,Jeep,Sedan
2.931174089,7.0,Sedan,Sedan
4.024291498,10.0,SUV,SUV
3.259109312,7.0,Sedan,Sedan
3.987854251,7.0,Pickup,SUV
2.712550607,7.0,Sedan,Sedan
3.87854251,7.0,Pickup,SUV
2.894736842,10.0,SUV,SUV
3.441295547,10.0,SUV,SUV
5.117408907,10.0,SUV,Van
3.076923077,10.0,Sedan,SUV
2.858299595,7.0,Jeep,Sedan
3.368421053,7.0,Sedan,Sedan
4.024291498,7.0,SUV,SUV
2.785425101,7.0,Sedan,Sedan
3.951417004,7.0,SUV,SUV
3.951417004,7.0,SUV,SUV
2.858299595,7.0,Sedan,Sedan
3.987854251,7.0,SUV,SUV
1.0,1.0,Jeep,Sedan
4.352226721,7.0,SUV,SUV
3.51417004,7.0,SUV,SUV
1.619433198,1.0,Jeep,Sedan
2.603238866,7.0,SUV,Sedan
2.311740891,7.0,SUV,Sedan
3.732793522,7.0,SUV,SUV
2.821862348,7.0,Sedan,Sedan
3.04048583,7.0,SUV,Sedan
4.898785425,10.0,Van,Van
3.842105263,7.0,SUV,SUV
3.149797571,7.0,Sedan,Sedan
4.024291498,10.0,SUV,SUV
2.894736842,7.0,SUV,Sedan
3.51417004,7.0,Pickup,SUV
3.076923077,7.0,Sedan,Sedan
5.299595142,7.0,SUV,SUV
3.149797571,7.0,Sedan,Sedan
2.530364372,7.0,Sedan,Sedan
2.566801619,7.0,Sedan,Sedan
10.0,10.0,Van,Van
2.931174089,7.0,SUV,Sedan
2.603238866,7.0,Sedan,Sedan
2.493927126,7.0,Sedan,Sedan
3.87854251,7.0,Pickup,SUV
3.51417004,7.0,Sedan,SUV
3.076923077,1.0,Sedan,Sedan
2.603238866,7.0,Sedan,Sedan
5.08097166,10.0,Van,Van
5.153846154,10.0,SUV,Van
4.352226721,7.0,SUV,SUV
3.149797571,7.0,Sedan,Sedan
3.732793522,7.0,SUV,SUV
2.493927126,7.0,Sedan,Sedan
6.210526316,10.0,Van,Van
3.51417004,7.0,Pickup,SUV
2.931174089,10.0,SUV,SUV
4.607287449,10.0,SUV,SUV
3.441295547,7.0,Sedan,Sedan
4.534412955,7.0,Van,SUV
3.987854251,7.0,Pickup,SUV
3.259109312,7.0,Sedan,Sedan
3.951417004,10.0,SUV,SUV
3.004048583,7.0,SUV,Sedan
3.076923077,7.0,SUV,Sedan
5.153846154,10.0,SUV,Van
3.441295547,7.0,Pickup,Sedan
3.222672065,10.0,SUV,SUV
2.056680162,1.0,Sedan,Sedan
4.898785425,7.0,SUV,SUV
3.186234818,7.0,Sedan,Sedan
2.67611336,7.0,SUV,Sedan
5.190283401,10.0,SUV,Van
2.785425101,7.0,Sedan,Sedan
6.064777328,10.0,Van,Van
2.712550607,7.0,Sedan,Sedan
2.712550607,7.0,Sedan,Sedan
2.894736842,10.0,SUV,SUV
3.87854251,7.0,Pickup,SUV
5.263157895,7.0,SUV,SUV
3.149797571,7.0,Sedan,Sedan
3.186234818,7.0,Sedan,Sedan
2.931174089,7.0,SUV,Sedan
1.692307692,7.0,Jeep,Sedan
3.87854251,7.0,Pickup,SUV
3.732793522,7.0,SUV,SUV
2.639676113,7.0,Pickup,Sedan
5.991902834,10.0,Van,Van
2.275303644,7.0,Sedan,Sedan
2.165991903,1.0,Sedan,Sedan
2.421052632,7.0,SUV,Sedan
4.060728745,10.0,SUV,SUV
4.315789474,7.0,SUV,SUV
3.331983806,7.0,SUV,Sedan
2.67611336,7.0,Sedan,Sedan
2.712550607,7.0,Sedan,Sedan
3.477732794,10.0,SUV,SUV
2.894736842,7.0,Sedan,Sedan
3.51417004,10.0,SUV,SUV
4.170040486,7.0,SUV,SUV
2.894736842,7.0,Sedan,Sedan
3.87854251,7.0,Pickup,SUV
3.951417004,7.0,Pickup,SUV
3.222672065,7.0,Sedan,Sedan
2.493927126,7.0,SUV,Sedan
4.024291498,7.0,Jeep,SUV
2.967611336,7.0,SUV,Sedan
3.076923077,7.0,Sedan,Sedan
3.076923077,7.0,Sedan,Sedan
2.603238866,7.0,Sedan,Sedan
3.113360324,7.0,SUV,Sedan
4.71659919,7.0,Sedan,SUV
